order_id,item_id,quantity
O01004,M0065,3
O02214,M0047,2
O04750,M0030,4
O02731,M0385,4
O02565,M0314,2
O00463,M0061,2
O01989,M0255,4
O01623,M0039,4
O03767,M0159,3
O02277,M0082,1
O00122,M0197,2
O04877,M0397,3
O00762,M0290,2
O03672,M0176,1
O04801,M0068,2
O03241,M0229,1
O01877,M0052,4
O03051,M0119,4
O01050,M0217,3
O03879,M0164,2
O04168,M0323,4
O02064,M0197,1
O01163,M0360,1
O03488,M0062,4
O01873,M0014,1
O04679,M0304,2
O04367,M0138,3
O01126,M0139,1
O01566,M0086,1
O00515,M0182,2
O02719,M0182,1
O02604,M0049,3
O01720,M0369,2
O00823,M0298,1
O02454,M0122,1
O04239,M0227,4
O04844,M0237,2
O02138,M0239,2
O03067,M0355,3
O01076,M0079,1
O04111,M0280,2
O02084,M0322,3
O04422,M0057,2
O00061,M0155,4
O04036,M0022,4
O04037,M0325,4
O04707,M0102,2
O01921,M0388,2
O04825,M0302,4
O02903,M0049,3
O00469,M0085,3
O03828,M0367,3
O03550,M0141,1
O04258,M0171,3
O04320,M0272,2
O04436,M0088,3
O03582,M0364,4
O01106,M0208,2
O00148,M0379,3
O03260,M0247,2
O04789,M0399,2
O02969,M0157,2
O02613,M0378,3
O00657,M0300,4
O01383,M0285,2
O01415,M0094,3
O00071,M0387,1
O04369,M0094,3
O03324,M0087,3
O03664,M0089,4
O01546,M0302,3
O01477,M0331,1
O00743,M0087,2
O02013,M0141,1
O02355,M0292,2
O04867,M0006,1
O04961,M0360,4
O03232,M0088,4
O00326,M0069,4
O03265,M0001,3
O02808,M0027,3
O03526,M0100,2
O00547,M0245,3
O00323,M0010,2
O00614,M0026,1
O04710,M0113,2
O03038,M0391,2
O04414,M0318,2
O01102,M0083,3
O03799,M0048,1
O04849,M0114,4
O00048,M0356,1
O03440,M0011,2
O03780,M0249,1
O02625,M0205,3
O03279,M0057,4
O00450,M0243,4
O01064,M0201,3
O01790,M0363,3
O00085,M0008,3
O01870,M0238,2
O01638,M0139,4
O00739,M0228,4
O01202,M0115,1
O01685,M0102,4
O00940,M0007,3
O02320,M0365,1
O03566,M0154,2
O01639,M0367,1
O03188,M0179,3
O02357,M0060,2
O03767,M0092,4
O03850,M0338,4
O04288,M0186,4
O03443,M0386,1
O03457,M0355,2
O02057,M0310,3
O01476,M0320,1
O02273,M0220,1
O03878,M0168,3
O00820,M0262,4
O00162,M0045,4
O04626,M0097,2
O02456,M0358,2
O00338,M0087,3
O04591,M0113,4
O02521,M0137,3
O00638,M0394,4
O01379,M0113,3
O02830,M0220,3
O01609,M0257,4
O04691,M0131,4
O04672,M0390,1
O01356,M0184,3
O04392,M0190,2
O03101,M0390,2
O03425,M0287,1
O02301,M0353,4
O01417,M0102,4
O02181,M0033,1
O00027,M0305,3
O01861,M0257,3
O02564,M0247,3
O01429,M0047,4
O02282,M0121,3
O04834,M0309,1
O00267,M0298,2
O03908,M0274,1
O02146,M0345,4
O00409,M0157,4
O03364,M0378,1
O02406,M0114,4
O04139,M0268,3
O02260,M0109,4
O00420,M0203,4
O00675,M0278,4
O02879,M0213,3
O03393,M0240,2
O03177,M0387,2
O03311,M0284,1
O03013,M0338,3
O00714,M0266,3
O04240,M0383,1
O00490,M0077,4
O03895,M0357,2
O04726,M0057,1
O04236,M0158,3
O00336,M0358,4
O04605,M0198,1
O02377,M0121,3
O03375,M0386,4
O00273,M0173,1
O01867,M0362,2
O03639,M0137,4
O04851,M0261,2
O01731,M0014,4
O03958,M0331,4
O01729,M0012,4
O03859,M0359,1
O04490,M0070,2
O01503,M0216,4
O03895,M0295,3
O00666,M0315,1
O04194,M0232,4
O02696,M0112,3
O04898,M0024,4
O03857,M0385,2
O04692,M0213,2
O02496,M0349,2
O04220,M0356,4
O03276,M0013,3
O02644,M0012,3
O04678,M0071,2
O00967,M0356,4
O00481,M0135,4
O00637,M0280,4
O03628,M0016,4
O03202,M0106,2
O00502,M0391,1
O03295,M0391,2
O04734,M0347,1
O03888,M0099,2
O04170,M0316,1
O04642,M0275,2
O04019,M0062,2
O03430,M0360,3
O01672,M0396,2
O03799,M0047,4
O00050,M0274,4
O02523,M0313,3
O01406,M0208,3
O01293,M0016,2
O04845,M0275,2
O00714,M0346,2
O02678,M0155,1
O00926,M0145,3
O04634,M0313,4
O03684,M0014,4
O04906,M0092,1
O02786,M0276,4
O01556,M0002,3
O02118,M0311,2
O02225,M0119,3
O02010,M0028,2
O00618,M0239,1
O03394,M0242,1
O03166,M0325,4
O02221,M0340,2
O00934,M0176,1
O00844,M0195,3
O04759,M0371,2
O04187,M0048,3
O00013,M0103,4
O00380,M0059,4
O00446,M0307,2
O03378,M0323,3
O00349,M0229,1
O01668,M0016,1
O04241,M0328,1
O03722,M0082,4
O01231,M0271,2
O04921,M0213,2
O02425,M0154,3
O00248,M0339,1
O03750,M0076,3
O04629,M0095,4
O02258,M0046,1
O03433,M0277,1
O03466,M0304,1
O04914,M0198,1
O01405,M0242,4
O03211,M0068,1
O04567,M0017,2
O00138,M0123,1
O03738,M0030,2
O03452,M0100,3
O02299,M0138,2
O02672,M0305,4
O01507,M0329,3
O02737,M0268,4
O00049,M0042,2
O00090,M0377,3
O01169,M0153,2
O03064,M0111,4
O04888,M0010,1
O01280,M0115,4
O02984,M0128,1
O01497,M0283,3
O04669,M0232,4
O00482,M0128,4
O03678,M0001,2
O02406,M0125,4
O02608,M0069,3
O00345,M0181,3
O01822,M0358,4
O02096,M0257,1
O04365,M0226,3
O02281,M0348,1
O01992,M0205,3
O04179,M0280,2
O00974,M0181,4
O04083,M0128,3
O02265,M0365,4
O03368,M0078,2
O01042,M0119,4
O00315,M0196,4
O03798,M0310,4
O02325,M0300,1
O01060,M0191,3
O04645,M0249,2
O01106,M0384,1
O02102,M0096,4
O01512,M0085,4
O04618,M0318,2
O00091,M0197,4
O03262,M0038,4
O04663,M0299,4
O01450,M0097,3
O03089,M0313,2
O04817,M0378,2
O01765,M0165,4
O03276,M0285,4
O04059,M0231,2
O03049,M0400,4
O00102,M0155,1
O02024,M0131,2
O00401,M0268,3
O04981,M0127,1
O02682,M0103,2
O04912,M0044,2
O01033,M0207,1
O00241,M0003,1
O02373,M0153,1
O03821,M0205,2
O00552,M0157,2
O00277,M0146,1
O01784,M0154,1
O00137,M0105,4
O02633,M0078,4
O01085,M0017,4
O02681,M0344,4
O02435,M0082,2
O02432,M0006,3
O01240,M0029,2
O01914,M0173,2
O00254,M0292,4
O03495,M0220,1
O02139,M0287,4
O01025,M0292,1
O03032,M0206,2
O00036,M0044,4
O02986,M0126,1
O03675,M0316,4
O03351,M0052,4
O04685,M0171,4
O01253,M0388,3
O00056,M0159,2
O02518,M0252,3
O00988,M0364,2
O02605,M0116,1
O01591,M0247,3
O03316,M0050,1
O00425,M0255,4
O04063,M0101,2
O00601,M0255,3
O00509,M0116,4
O00706,M0388,2
O00369,M0076,3
O04783,M0306,1
O04840,M0102,4
O01585,M0108,4
O00331,M0098,3
O01507,M0151,3
O02254,M0230,3
O04506,M0312,1
O02220,M0253,4
O00211,M0228,4
O01055,M0397,2
O02583,M0034,1
O03854,M0212,3
O00625,M0399,1
O03861,M0323,1
O04566,M0400,3
O00736,M0248,2
O01364,M0276,3
O00643,M0138,3
O03142,M0099,3
O00304,M0310,1
O04574,M0182,1
O02821,M0178,1
O00782,M0165,4
O02135,M0139,4
O02997,M0128,1
O03264,M0025,4
O03874,M0002,1
O02336,M0006,2
O00104,M0368,3
O02613,M0160,1
O04421,M0142,1
O02037,M0310,2
O01460,M0042,1
O01713,M0302,4
O03225,M0394,2
O00327,M0123,3
O04457,M0284,4
O02284,M0322,1
O03644,M0274,1
O01242,M0201,3
O01290,M0312,3
O00742,M0196,3
O03583,M0364,2
O01669,M0370,2
O02807,M0370,4
O01083,M0103,1
O01556,M0310,4
O02458,M0135,1
O04122,M0260,1
O03539,M0250,1
O04142,M0369,4
O00349,M0306,2
O00337,M0348,1
O04911,M0359,1
O04431,M0371,3
O01822,M0041,1
O01636,M0349,2
O03194,M0194,1
O00789,M0172,3
O04535,M0174,1
O02810,M0084,4
O01975,M0096,1
O00913,M0305,4
O00265,M0152,4
O01302,M0076,1
O02569,M0116,4
O00058,M0244,4
O02234,M0187,3
O02428,M0246,1
O04357,M0348,2
O01612,M0041,4
O00521,M0149,4
O00602,M0317,3
O01998,M0296,3
O03451,M0249,4
O03344,M0068,4
O01473,M0128,3
O04721,M0193,1
O02977,M0119,1
O01130,M0384,4
O00604,M0379,3
O00135,M0067,3
O03983,M0285,4
O00049,M0111,4
O04235,M0206,1
O02709,M0027,4
O01938,M0022,4
O03243,M0123,4
O00069,M0190,1
O01059,M0375,1
O03514,M0137,1
O04465,M0301,1
O00090,M0111,1
O04853,M0061,2
O00481,M0380,2
O00237,M0074,3
O01109,M0012,3
O02777,M0081,2
O03769,M0388,3
O04657,M0240,3
O01895,M0058,2
O03215,M0022,1
O04370,M0221,1
O01090,M0238,3
O04039,M0152,3
O02112,M0140,2
O00360,M0164,3
O04562,M0310,3
O02338,M0169,2
O04210,M0047,1
O04567,M0009,1
O04490,M0305,4
O02850,M0323,3
O04337,M0109,3
O02319,M0391,3
O03262,M0208,2
O01376,M0306,3
O01224,M0064,4
O04056,M0027,3
O03338,M0195,1
O01923,M0210,1
O03441,M0072,3
O04439,M0217,1
O03668,M0006,3
O03678,M0328,2
O03454,M0208,1
O01074,M0101,3
O00516,M0188,3
O00223,M0037,3
O01631,M0349,1
O00556,M0226,2
O00739,M0217,4
O00770,M0162,4
O00443,M0178,4
O04687,M0032,3
O01057,M0092,3
O02476,M0039,2
O02010,M0303,3
O02520,M0227,3
O00464,M0364,4
O02165,M0375,3
O01752,M0050,3
O03831,M0299,1
O02616,M0371,4
O01009,M0294,1
O04299,M0327,4
O03562,M0381,3
O03315,M0298,2
O03520,M0170,4
O01009,M0284,2
O01596,M0166,4
O02162,M0322,4
O03244,M0281,1
O03066,M0352,4
O00403,M0396,2
O01990,M0382,4
O03884,M0375,1
O04441,M0136,2
O00049,M0329,1
O04618,M0096,2
O00210,M0309,3
O03543,M0251,2
O01778,M0098,2
O04946,M0358,4
O01743,M0350,2
O01724,M0290,4
O02369,M0133,1
O01525,M0288,2
O02640,M0123,2
O03235,M0236,4
O04864,M0335,2
O02116,M0085,4
O03879,M0122,2
O01834,M0370,3
O01153,M0024,2
O01953,M0352,2
O00178,M0295,1
O02060,M0353,1
O00535,M0217,2
O01868,M0390,2
O04230,M0143,3
O01133,M0109,3
O04053,M0338,1
O04954,M0303,2
O04982,M0005,4
O02715,M0165,1
O02690,M0138,3
O01040,M0200,1
O03626,M0166,4
O04657,M0354,1
O01653,M0283,2
O01019,M0016,1
O03223,M0146,2
O01749,M0345,2
O01510,M0397,4
O01234,M0066,4
O03682,M0240,4
O01789,M0105,1
O03393,M0372,1
O03264,M0206,3
O03917,M0015,4
O00029,M0107,3
O00429,M0122,4
O00284,M0172,3
O01389,M0320,3
O01109,M0323,3
O00695,M0373,1
O03875,M0363,3
O00440,M0068,4
O02214,M0010,4
O03877,M0389,3
O04148,M0086,4
O03715,M0216,2
O03042,M0292,1
O03521,M0082,1
O00328,M0126,4
O01564,M0261,3
O03306,M0135,4
O00582,M0145,4
O02190,M0162,4
O04803,M0107,1
O04283,M0112,4
O04705,M0278,3
O04901,M0040,3
O04905,M0362,4
O00282,M0302,3
O02569,M0008,3
O04893,M0360,2
O01171,M0214,4
O02430,M0111,2
O01080,M0382,2
O04838,M0132,4
O00831,M0067,1
O01286,M0368,1
O00855,M0169,3
O04608,M0174,2
O02061,M0009,1
O00600,M0094,4
O03580,M0380,2
O01127,M0099,3
O04078,M0154,2
O01324,M0175,4
O03778,M0383,4
O00527,M0263,2
O01055,M0105,4
O04308,M0330,4
O00474,M0169,3
O00553,M0199,1
O03150,M0358,1
O01638,M0358,3
O04715,M0329,3
O03284,M0157,4
O04711,M0307,3
O03207,M0013,3
O04222,M0220,4
O02207,M0291,4
O01580,M0348,2
O00031,M0318,4
O01263,M0104,4
O00978,M0026,1
O04702,M0073,4
O00686,M0197,4
O01085,M0004,1
O03430,M0166,3
O02611,M0376,4
O04150,M0209,3
O02708,M0256,4
O02642,M0168,3
O04044,M0181,1
O01411,M0131,4
O03531,M0141,1
O00057,M0027,4
O04291,M0229,3
O04269,M0213,2
O02386,M0350,1
O02928,M0037,4
O03135,M0181,3
O02664,M0055,2
O01435,M0132,3
O02131,M0036,4
O02426,M0003,2
O01653,M0104,4
O04378,M0219,1
O04199,M0398,2
O02608,M0241,1
O00521,M0232,1
O02009,M0210,2
O00374,M0319,3
O02194,M0079,2
O04200,M0330,4
O00498,M0089,1
O02727,M0375,1
O04429,M0314,2
O00250,M0312,3
O00567,M0109,3
O04739,M0007,4
O00543,M0311,4
O04886,M0249,4
O01106,M0140,3
O01253,M0285,3
O00898,M0108,3
O03189,M0313,3
O04315,M0007,3
O02604,M0022,4
O01677,M0182,4
O04032,M0154,1
O04695,M0165,4
O01825,M0294,3
O00155,M0173,1
O01150,M0337,4
O00009,M0087,3
O02215,M0076,1
O01911,M0047,3
O04346,M0308,2
O02721,M0267,3
O00144,M0240,2
O02558,M0079,1
O01863,M0050,4
O03767,M0242,3
O04363,M0224,4
O02971,M0313,3
O00932,M0337,3
O00547,M0263,4
O02190,M0352,2
O01651,M0002,2
O04968,M0164,4
O04214,M0142,1
O04674,M0216,2
O02005,M0332,2
O01379,M0220,1
O02954,M0370,4
O02294,M0085,4
O03441,M0247,3
O04230,M0108,1
O03633,M0099,1
O03146,M0207,2
O04837,M0110,1
O03044,M0048,1
O03840,M0277,2
O02416,M0399,2
O03126,M0186,3
O04614,M0160,4
O04496,M0304,1
O03444,M0079,2
O01094,M0236,2
O01803,M0335,4
O00976,M0231,1
O01242,M0088,2
O03863,M0348,1
O00295,M0363,4
O02592,M0140,4
O00456,M0344,3
O03818,M0229,3
O02126,M0037,4
O03447,M0255,3
O02572,M0104,1
O04462,M0277,1
O03707,M0384,2
O03792,M0264,1
O02890,M0299,1
O02625,M0253,1
O04570,M0298,3
O03028,M0262,4
O01374,M0208,2
O04142,M0135,4
O03368,M0106,1
O01275,M0009,4
O03266,M0041,2
O01949,M0304,4
O00892,M0093,1
O04937,M0015,3
O00723,M0281,1
O01268,M0291,4
O00806,M0262,2
O00218,M0333,4
O00058,M0206,4
O04883,M0019,1
O00386,M0233,2
O01798,M0247,2
O04830,M0285,2
O03176,M0284,2
O01835,M0141,4
O02489,M0312,4
O00379,M0125,3
O00363,M0216,4
O02687,M0236,4
O04249,M0374,2
O01565,M0174,3
O03655,M0007,4
O03623,M0121,1
O01400,M0337,2
O00821,M0166,3
O02788,M0324,1
O02608,M0226,1
O02929,M0066,1
O04300,M0245,2
O04232,M0141,3
O02158,M0023,3
O03012,M0261,2
O00858,M0040,3
O00524,M0158,4
O00422,M0334,1
O01249,M0117,3
O00404,M0102,4
O04389,M0228,1
O02657,M0322,4
O04374,M0309,1
O00307,M0299,4
O03690,M0317,4
O04406,M0028,2
O01902,M0328,3
O02188,M0183,4
O04198,M0150,3
O03376,M0243,3
O00203,M0390,2
O03468,M0372,4
O02443,M0012,1
O03539,M0112,2
O02616,M0246,2
O04085,M0260,2
O00976,M0182,4
O02999,M0232,2
O04927,M0361,2
O03598,M0120,1
O04171,M0202,2
O00310,M0070,1
O02716,M0287,3
O02493,M0329,2
O01858,M0117,2
O02459,M0047,4
O03055,M0036,3
O02084,M0276,2
O04777,M0222,4
O00197,M0239,2
O02457,M0150,4
O03858,M0364,3
O03185,M0091,1
O02830,M0381,3
O04463,M0146,1
O03990,M0138,1
O03480,M0033,4
O00025,M0173,1
O01324,M0085,1
O04208,M0341,1
O03314,M0290,1
O02349,M0051,2
O02457,M0141,4
O03168,M0358,1
O04840,M0131,2
O03989,M0231,3
O00212,M0377,2
O04846,M0369,2
O04392,M0208,3
O01978,M0104,1
O01242,M0218,3
O00243,M0295,4
O01534,M0060,2
O03405,M0194,4
O03766,M0064,4
O03404,M0212,4
O00639,M0001,2
O02568,M0383,4
O01971,M0143,2
O00263,M0069,2
O01095,M0349,2
O02201,M0315,1
O00593,M0107,4
O03469,M0284,2
O03449,M0250,3
O00133,M0049,4
O03706,M0315,1
O02683,M0077,3
O02262,M0207,1
O02248,M0151,1
O01346,M0109,2
O02871,M0033,4
O02491,M0203,3
O03558,M0158,2
O03088,M0027,1
O04503,M0197,2
O04011,M0385,2
O03110,M0112,1
O04650,M0300,3
O03125,M0314,3
O02917,M0299,2
O01497,M0249,4
O03078,M0135,1
O02447,M0312,1
O00216,M0111,3
O00021,M0092,3
O02813,M0033,2
O02221,M0400,3
O02096,M0282,4
O03942,M0073,2
O04370,M0275,2
O04692,M0001,3
O03841,M0387,2
O01913,M0034,3
O02959,M0142,4
O00686,M0192,4
O02396,M0298,2
O01220,M0184,1
O00938,M0134,4
O04309,M0265,4
O04831,M0163,2
O00521,M0069,1
O02372,M0008,3
O02339,M0125,4
O04060,M0334,4
O03481,M0049,2
O00425,M0358,3
O04113,M0027,1
O00819,M0371,4
O01993,M0044,3
O01689,M0299,1
O02659,M0048,1
O02050,M0118,4
O03944,M0274,4
O01400,M0324,1
O00122,M0249,1
O04496,M0234,1
O00372,M0315,4
O04297,M0164,4
O02468,M0066,3
O03721,M0028,4
O04489,M0334,1
O01170,M0220,2
O02003,M0370,1
O03050,M0135,2
O01608,M0007,4
O00273,M0028,2
O01600,M0028,2
O04115,M0222,3
O02746,M0357,1
O02675,M0071,2
O02362,M0380,1
O00786,M0149,2
O00224,M0207,4
O03936,M0019,1
O02581,M0039,3
O02620,M0379,2
O00157,M0049,4
O03477,M0128,2
O04255,M0073,2
O01112,M0070,3
O00307,M0017,3
O01902,M0301,2
O01509,M0341,2
O00387,M0191,4
O01146,M0336,1
O00784,M0340,1
O00619,M0059,2
O02098,M0274,3
O01713,M0115,1
O01577,M0117,2
O02979,M0093,4
O00957,M0110,2
O01993,M0376,3
O02749,M0211,3
O02731,M0065,2
O02493,M0096,4
O02445,M0396,3
O04993,M0227,4
O00041,M0089,3
O04782,M0263,4
O03518,M0099,3
O01425,M0382,1
O04779,M0183,2
O03583,M0385,4
O03880,M0321,2
O02267,M0339,3
O01453,M0319,4
O01901,M0183,4
O00755,M0172,2
O03143,M0207,3
O02724,M0289,1
O02192,M0250,4
O01292,M0190,2
O04186,M0032,4
O03412,M0154,1
O02184,M0243,3
O01796,M0128,4
O04765,M0358,3
O01305,M0148,4
O02219,M0392,4
O03558,M0369,3
O01912,M0174,2
O04598,M0298,4
O01043,M0391,3
O02047,M0079,3
O01660,M0363,4
O04046,M0304,2
O02440,M0053,3
O03890,M0042,2
O03750,M0331,4
O01610,M0382,2
O02655,M0139,2
O02348,M0211,3
O04098,M0384,4
O02019,M0343,1
O03383,M0052,4
O04411,M0076,3
O04633,M0241,2
O04985,M0386,1
O03402,M0050,3
O01840,M0345,1
O00832,M0202,2
O03784,M0046,1
O02006,M0012,4
O01706,M0243,2
O03110,M0031,4
O01361,M0397,1
O00782,M0141,4
O03949,M0284,1
O04555,M0072,4
O02254,M0294,2
O00966,M0068,1
O02339,M0204,2
O04851,M0394,3
O03622,M0204,2
O02649,M0329,3
O01181,M0384,2
O03184,M0360,3
O02822,M0385,4
O01681,M0098,1
O03769,M0072,3
O00093,M0111,4
O04692,M0135,1
O00900,M0093,4
O03140,M0368,3
O04647,M0236,1
O03359,M0232,1
O03373,M0350,2
O01790,M0169,2
O04916,M0057,1
O00860,M0200,1
O01392,M0180,1
O00931,M0206,2
O04651,M0309,3
O04794,M0018,1
O01595,M0116,2
O02230,M0140,2
O03902,M0341,4
O03949,M0337,2
O02242,M0274,1
O02306,M0024,3
O00726,M0373,1
O00583,M0223,4
O04920,M0111,1
O00606,M0129,1
O00850,M0206,1
O02318,M0297,1
O00205,M0025,3
O01324,M0020,2
O04339,M0288,4
O03417,M0061,4
O04459,M0017,1
O04934,M0021,2
O02392,M0074,1
O01644,M0133,3
O02477,M0284,3
O01278,M0031,2
O02616,M0102,1
O03486,M0032,4
O04633,M0344,1
O03979,M0303,1
O01683,M0279,4
O00482,M0041,3
O03937,M0051,1
O04060,M0060,2
O01108,M0362,1
O04776,M0350,3
O00133,M0070,3
O03801,M0343,1
O01324,M0267,1
O02371,M0048,1
O01086,M0274,4
O02451,M0163,2
O03970,M0357,1
O04978,M0110,4
O03903,M0262,3
O04022,M0195,3
O03512,M0097,1
O01957,M0284,1
O00308,M0327,4
O02472,M0315,1
O03105,M0063,3
O01388,M0128,2
O00975,M0179,3
O00393,M0039,2
O00676,M0172,2
O02716,M0027,4
O04890,M0340,4
O01520,M0199,1
O03331,M0281,3
O02822,M0173,2
O02648,M0090,4
O02555,M0039,1
O01139,M0325,3
O02319,M0250,1
O03822,M0299,3
O04265,M0270,3
O03490,M0200,3
O04151,M0292,2
O00479,M0016,3
O00869,M0303,3
O03545,M0232,3
O03293,M0107,3
O02983,M0399,3
O01194,M0095,4
O00708,M0234,2
O03193,M0207,2
O02963,M0208,3
O00213,M0133,4
O00066,M0244,1
O00351,M0043,3
O02249,M0057,2
O00042,M0194,4
O01475,M0134,1
O04194,M0228,1
O00043,M0002,4
O03352,M0278,1
O02228,M0389,1
O03981,M0070,2
O00064,M0242,4
O01381,M0099,1
O00998,M0180,2
O01147,M0118,2
O04524,M0076,2
O01434,M0285,2
O02326,M0007,3
O03859,M0168,2
O04310,M0099,3
O04965,M0303,3
O00262,M0001,3
O00756,M0020,3
O03706,M0310,1
O01870,M0191,1
O00946,M0127,3
O00244,M0397,3
O01592,M0164,4
O01193,M0085,2
O00063,M0224,3
O00964,M0328,3
O04009,M0285,1
O04906,M0389,4
O04295,M0124,1
O01046,M0277,1
O00597,M0013,3
O00839,M0319,3
O02699,M0125,3
O00633,M0314,3
O01035,M0391,1
O02152,M0148,4
O04553,M0210,4
O02358,M0376,2
O04511,M0019,2
O00697,M0329,2
O00185,M0198,2
O02821,M0255,1
O01863,M0238,1
